transcript,label
"You are being contacted by the Enforcement Directorate regarding your bank account. Do not disconnect this video call under any circumstances, this is now an official proceeding. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. This is being recorded as evidence for the Supreme Court proceeding. If you disconnect this call, a team will be sent to your residence within the hour.",1
"Good morning, This is a survey call about your recent visit to our store, would you have two minutes to share feedback? Reminder: your gym membership renews next week. No action needed if you'd like to continue. Feel free to call back if anything is unclear.",0
Your HDFC Bank account has been locked due to suspicious activity. Click here to verify: http://hdfcbank-kyc-verify.com/update,1
"This call is from Customs Department, Mumbai Airport division. You must deposit funds into a government safe custody account for 24 hours, it will be refunded. Your bank account will be frozen in the next 30 minutes if you do not comply. I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol.",1
"I am Inspector Iyer from CBI Headquarters, Delhi. Send Rs 10 via UPI to this ID immediately to avoid asset seizure. A parcel booked in your name containing illegal substances was intercepted at customs. Your case reference number is REF885395, please note it down. Do not go to the police station yourself, we will guide you through the process here. I am Inspector Gupta from CBI Headquarters, Delhi.",1
"I am a Sub-Inspector with the Narcotics Control Bureau. Transfer funds to this account for RBI clearance, failure to comply will result in arrest. Your bank account will be frozen in the next 30 minutes if you do not comply. You have been named in an FIR filed at Mumbai Police Station. Stay on this call and do not contact any lawyer until verification is complete.",1
"This call is from Customs Department, Mumbai Airport division. A warrant has been issued for your arrest under Section 420 unless this is resolved today. Do not disconnect this video call under any circumstances, this is now an official proceeding. FIR number 289/2026 has been registered against you. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"I am a Sub-Inspector with the Narcotics Control Bureau. Do not go to the police station yourself, we will guide you through the process here. This is being recorded as evidence for the Supreme Court proceeding. A warrant has been issued for your arrest under Section 66D unless this is resolved today. This call is from Customs Department, Mumbai Airport division. Share the OTP sent to your phone so we can verify your account is not compromised.",1
You have been named in an FIR filed at Bengaluru Police Station. Stay on this call and do not contact any lawyer until verification is complete. Share the OTP sent to your phone so we can verify your account is not compromised. A parcel booked in your name containing illegal substances was intercepted at customs. You are being contacted by the Enforcement Directorate regarding your bank account.,1
"Hi, this is Khan calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? Congratulations, your loan application has been approved, our relationship manager will call you to explain the next steps at your convenience. Have a good day.",0
"Dear customer, your ICICI Bank account will be suspended in 24 hours due to KYC non-compliance. Confirm your details within 24 hours: bit.ly/icicibank-verify",1
"Hi, this is Reddy calling from HDFC Bank customer service regarding your recent card application. Could you confirm your registered email address? This is Airtel customer care. We noticed your data pack expires today, would you like to renew it? No urgent action is needed.",0
"This call is from Customs Department, Mumbai Airport division. You are being contacted by the Enforcement Directorate regarding your bank account. If you disconnect this call, a team will be sent to your residence within the hour. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol. You must deposit funds into a government safe custody account for 24 hours, it will be refunded.",1
"Dear customer, your Paytm account will be suspended in 24 hours due to KYC non-compliance. Verify your identity now at paytm-secure-login.net to avoid suspension.",1
You are being contacted by the Enforcement Directorate regarding your bank account. Purchase gift cards worth Rs 50 and share the codes for verification purposes. A warrant has been issued for your arrest under Section 384 unless this is resolved today.,1
"Hey, This is a survey call about your recent visit to our store, would you have two minutes to share feedback? Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Let me know if you have any questions.",0
"Hey, This is your bank calling to confirm a transaction of Rs 1200 you made yesterday at a grocery store, please call the branch back if you did not recognize it.",0
"Dear customer, your Axis Bank account will be suspended in 24 hours due to KYC non-compliance. Confirm your details within 24 hours: bit.ly/axisbank-verify",1
"Good morning, Hi, just checking in about the delivery of your order, it should arrive by Thursday. Let me know if you have any questions.",0
"Hey, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Let me know if you have any questions.",0
"This is being recorded as evidence for the Supreme Court proceeding. Send Rs 10 via UPI to this ID immediately to avoid asset seizure. A warrant has been issued for your arrest under Section 384 unless this is resolved today. I am Inspector Khan from CBI Headquarters, Delhi.",1
"Hello, This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. This is a courtesy call from your insurance provider to remind you about your policy renewal, no urgent action is required. No urgent action is needed.",0
"Hello, Good afternoon, this is a reminder call from Apollo Hospitals about your appointment scheduled for tomorrow at 10 AM. Can you send me the report by end of day? No rush if you're busy, tomorrow morning also works. Let me know if you have any questions.",0
"Hello, This is regarding your electricity bill for this month, it is now available on the portal, no action needed unless you have queries. This is Airtel customer care. We noticed your data pack expires today, would you like to renew it? No urgent action is needed.",0
ALERT: Unusual sign-in activity detected on your Paytm account. Confirm your details within 24 hours: bit.ly/paytm-verify,1
"This is Officer Patel calling from the Cyber Crime Cell, Mumbai. This falls under Section 467 of the IT Act and PMLA. To verify your identity and clear your name, transfer Rs 50 to this RBI verification account. You are not permitted to inform any family member about this investigation, it is confidential. A warrant has been issued for your arrest under Section 120B unless this is resolved today. This call is from Customs Department, Mumbai Airport division.",1
"I'm calling on behalf of TRAI regarding your mobile number linked to illegal activity. Stay on this call and do not contact any lawyer until verification is complete. Share the OTP sent to your phone so we can verify your account is not compromised. This is being recorded as evidence for the Supreme Court proceeding. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious. This call is from Customs Department, Mumbai Airport division.",1
"You have been named in an FIR filed at Bengaluru Police Station. Do not go to the police station yourself, we will guide you through the process here. Purchase gift cards worth Rs 5 and share the codes for verification purposes. Your case reference number is REF340927, please note it down. A warrant has been issued for your arrest under Section 467 unless this is resolved today. This is Officer Verma calling from the Cyber Crime Cell, Mumbai.",1
"This call is from Customs Department, Mumbai Airport division. This is Officer Iyer calling from the Cyber Crime Cell, Mumbai. Share the OTP sent to your phone so we can verify your account is not compromised. Turn on your camera now and do not leave the frame, this is a mandatory digital arrest protocol. This is being recorded as evidence for the Supreme Court proceeding. Your PAN and Aadhaar are linked to a fraud case worth crores. This is extremely serious.",1
"You are not permitted to inform any family member about this investigation, it is confidential. Send Rs 25 via UPI to this ID immediately to avoid asset seizure. A parcel booked in your name containing illegal substances was intercepted at customs. This call is from Customs Department, Mumbai Airport division.",1
